bin,n,p_hat,p_emp
1,421,0.034679282358175516,0.009501187648456057
2,422,0.0934668902055536,0.04739336492890995
3,422,0.17602840601419106,0.13507109004739337
4,422,0.28471782744585467,0.27014218009478674
5,422,0.4073379823882411,0.42417061611374407
6,421,0.5145513558288646,0.5201900237529691
7,422,0.6173274085205113,0.6303317535545023
8,422,0.7084673939973452,0.7156398104265402
9,422,0.7866795840693246,0.7914691943127962
10,422,0.8440550515565948,0.8246445497630331
11,421,0.8868065472376678,0.8883610451306413
12,422,0.9182029284826537,0.9218009478672986
13,422,0.942141957798892,0.9644549763033176
14,422,0.9588155114475833,0.976303317535545
15,422,0.9701152298635685,0.9881516587677726
