id_student,age_band_val,cluster_label,best_k,sil_score
23629,0-35,2,6,0.15596002287889224
23698,0-35,4,6,0.15596002287889224
23798,0-35,0,6,0.15596002287889224
24186,0-35,0,6,0.15596002287889224
24213,0-35,3,6,0.15596002287889224
24213,0-35,3,6,0.15596002287889224
24391,0-35,0,6,0.15596002287889224
24734,0-35,5,6,0.15596002287889224
25107,0-35,2,6,0.15596002287889224
25150,0-35,1,6,0.15596002287889224
25572,0-35,1,6,0.15596002287889224
26734,0-35,1,6,0.15596002287889224
27116,0-35,3,6,0.15596002287889224
27417,0-35,4,6,0.15596002287889224
27417,0-35,4,6,0.15596002287889224
27683,0-35,1,6,0.15596002287889224
27780,0-35,1,6,0.15596002287889224
27891,0-35,2,6,0.15596002287889224
27891,0-35,2,6,0.15596002287889224
27935,0-35,1,6,0.15596002287889224
28418,0-35,1,6,0.15596002287889224
28808,0-35,4,6,0.15596002287889224
28897,0-35,1,6,0.15596002287889224
28952,0-35,3,6,0.15596002287889224
29144,0-35,1,6,0.15596002287889224
29335,0-35,3,6,0.15596002287889224
29411,0-35,3,6,0.15596002287889224
29411,0-35,3,6,0.15596002287889224
29420,0-35,3,6,0.15596002287889224
29639,0-35,2,6,0.15596002287889224
29639,0-35,2,6,0.15596002287889224
29764,0-35,0,6,0.15596002287889224
29769,0-35,3,6,0.15596002287889224
29820,0-35,3,6,0.15596002287889224
29820,0-35,3,6,0.15596002287889224
29985,0-35,0,6,0.15596002287889224
30091,0-35,0,6,0.15596002287889224
30096,0-35,1,6,0.15596002287889224
30531,0-35,4,6,0.15596002287889224
31296,0-35,1,6,0.15596002287889224
31600,0-35,2,6,0.15596002287889224
32221,0-35,0,6,0.15596002287889224
32239,0-35,0,6,0.15596002287889224
32327,0-35,3,6,0.15596002287889224
32885,0-35,1,6,0.15596002287889224
33387,0-35,1,6,0.15596002287889224
33387,0-35,1,6,0.15596002287889224
33666,0-35,2,6,0.15596002287889224
33897,0-35,5,6,0.15596002287889224
33897,0-35,5,6,0.15596002287889224
33915,0-35,3,6,0.15596002287889224
33930,0-35,3,6,0.15596002287889224
34068,0-35,5,6,0.15596002287889224
34293,0-35,3,6,0.15596002287889224
34653,0-35,1,6,0.15596002287889224
34731,0-35,5,6,0.15596002287889224
34756,0-35,2,6,0.15596002287889224
34863,0-35,5,6,0.15596002287889224
35340,0-35,3,6,0.15596002287889224
35508,0-35,3,6,0.15596002287889224
35508,0-35,3,6,0.15596002287889224
35860,0-35,4,6,0.15596002287889224
36347,0-35,1,6,0.15596002287889224
36385,0-35,2,6,0.15596002287889224
36385,0-35,2,6,0.15596002287889224
37298,0-35,3,6,0.15596002287889224
37622,0-35,2,6,0.15596002287889224
38234,0-35,4,6,0.15596002287889224
39655,0-35,2,6,0.15596002287889224
39660,0-35,4,6,0.15596002287889224
39882,0-35,1,6,0.15596002287889224
39882,0-35,1,6,0.15596002287889224
40563,0-35,3,6,0.15596002287889224
40878,0-35,3,6,0.15596002287889224
41060,0-35,1,6,0.15596002287889224
41414,0-35,0,6,0.15596002287889224
41547,0-35,1,6,0.15596002287889224
42552,0-35,3,6,0.15596002287889224
43284,0-35,4,6,0.15596002287889224
45462,0-35,1,6,0.15596002287889224
45642,0-35,0,6,0.15596002287889224
45664,0-35,1,6,0.15596002287889224
45664,0-35,1,6,0.15596002287889224
46016,0-35,0,6,0.15596002287889224
47061,0-35,1,6,0.15596002287889224
47861,0-35,3,6,0.15596002287889224
47891,0-35,1,6,0.15596002287889224
48152,0-35,1,6,0.15596002287889224
48503,0-35,2,6,0.15596002287889224
48635,0-35,3,6,0.15596002287889224
48635,0-35,3,6,0.15596002287889224
49119,0-35,3,6,0.15596002287889224
49119,0-35,3,6,0.15596002287889224
49123,0-35,0,6,0.15596002287889224
50069,0-35,3,6,0.15596002287889224
50476,0-35,3,6,0.15596002287889224
50487,0-35,3,6,0.15596002287889224
50610,0-35,4,6,0.15596002287889224
50993,0-35,2,6,0.15596002287889224
51030,0-35,3,6,0.15596002287889224
51033,0-35,4,6,0.15596002287889224
51485,0-35,0,6,0.15596002287889224
51576,0-35,4,6,0.15596002287889224
51576,0-35,4,6,0.15596002287889224
51576,0-35,4,6,0.15596002287889224
51955,0-35,1,6,0.15596002287889224
52130,0-35,1,6,0.15596002287889224
53136,0-35,3,6,0.15596002287889224
53166,0-35,1,6,0.15596002287889224
53300,0-35,0,6,0.15596002287889224
53488,0-35,3,6,0.15596002287889224
53632,0-35,0,6,0.15596002287889224
53632,0-35,0,6,0.15596002287889224
53709,0-35,0,6,0.15596002287889224
53709,0-35,0,6,0.15596002287889224
54062,0-35,1,6,0.15596002287889224
54062,0-35,1,6,0.15596002287889224
54391,0-35,1,6,0.15596002287889224
54810,0-35,0,6,0.15596002287889224
54810,0-35,0,6,0.15596002287889224
54882,0-35,4,6,0.15596002287889224
55013,0-35,1,6,0.15596002287889224
55104,0-35,3,6,0.15596002287889224
55419,0-35,4,6,0.15596002287889224
55968,0-35,2,6,0.15596002287889224
56637,0-35,3,6,0.15596002287889224
57227,0-35,4,6,0.15596002287889224
57285,0-35,1,6,0.15596002287889224
57340,0-35,1,6,0.15596002287889224
57844,0-35,1,6,0.15596002287889224
58089,0-35,3,6,0.15596002287889224
58316,0-35,1,6,0.15596002287889224
58549,0-35,3,6,0.15596002287889224
58617,0-35,4,6,0.15596002287889224
58640,0-35,3,6,0.15596002287889224
58731,0-35,1,6,0.15596002287889224
58873,0-35,1,6,0.15596002287889224
59272,0-35,3,6,0.15596002287889224
59275,0-35,4,6,0.15596002287889224
60135,0-35,4,6,0.15596002287889224
60416,0-35,2,6,0.15596002287889224
60809,0-35,3,6,0.15596002287889224
60809,0-35,3,6,0.15596002287889224
60830,0-35,2,6,0.15596002287889224
61227,0-35,1,6,0.15596002287889224
61911,0-35,1,6,0.15596002287889224
62034,0-35,3,6,0.15596002287889224
62155,0-35,2,6,0.15596002287889224
62278,0-35,1,6,0.15596002287889224
62487,0-35,1,6,0.15596002287889224
62631,0-35,2,6,0.15596002287889224
63044,0-35,1,6,0.15596002287889224
63371,0-35,3,6,0.15596002287889224
63721,0-35,0,6,0.15596002287889224
63827,0-35,1,6,0.15596002287889224
63949,0-35,0,6,0.15596002287889224
64275,0-35,2,6,0.15596002287889224
64296,0-35,1,6,0.15596002287889224
64296,0-35,1,6,0.15596002287889224
64388,0-35,3,6,0.15596002287889224
64427,0-35,1,6,0.15596002287889224
64450,0-35,3,6,0.15596002287889224
65002,0-35,0,6,0.15596002287889224
65002,0-35,0,6,0.15596002287889224
66254,0-35,3,6,0.15596002287889224
66451,0-35,1,6,0.15596002287889224
66577,0-35,4,6,0.15596002287889224
66713,0-35,1,6,0.15596002287889224
67471,0-35,3,6,0.15596002287889224
67539,0-35,1,6,0.15596002287889224
67602,0-35,1,6,0.15596002287889224
67685,0-35,1,6,0.15596002287889224
67685,0-35,1,6,0.15596002287889224
67781,0-35,3,6,0.15596002287889224
67785,0-35,3,6,0.15596002287889224
67986,0-35,4,6,0.15596002287889224
68011,0-35,3,6,0.15596002287889224
68107,0-35,1,6,0.15596002287889224
68376,0-35,3,6,0.15596002287889224
68417,0-35,3,6,0.15596002287889224
68556,0-35,4,6,0.15596002287889224
69346,0-35,4,6,0.15596002287889224
69439,0-35,4,6,0.15596002287889224
69491,0-35,1,6,0.15596002287889224
69494,0-35,0,6,0.15596002287889224
69494,0-35,0,6,0.15596002287889224
69703,0-35,1,6,0.15596002287889224
70011,0-35,3,6,0.15596002287889224
70214,0-35,3,6,0.15596002287889224
70214,0-35,3,6,0.15596002287889224
70495,0-35,3,6,0.15596002287889224
70495,0-35,3,6,0.15596002287889224
70569,0-35,1,6,0.15596002287889224
71252,0-35,4,6,0.15596002287889224
71578,0-35,4,6,0.15596002287889224
71676,0-35,1,6,0.15596002287889224
71723,0-35,3,6,0.15596002287889224
71723,0-35,3,6,0.15596002287889224
72114,0-35,3,6,0.15596002287889224
72400,0-35,0,6,0.15596002287889224
72693,0-35,1,6,0.15596002287889224
73019,0-35,1,6,0.15596002287889224
73489,0-35,2,6,0.15596002287889224
73584,0-35,1,6,0.15596002287889224
73664,0-35,1,6,0.15596002287889224
73664,0-35,1,6,0.15596002287889224
74113,0-35,1,6,0.15596002287889224
74165,0-35,1,6,0.15596002287889224
74290,0-35,0,6,0.15596002287889224
74290,0-35,0,6,0.15596002287889224
74502,0-35,3,6,0.15596002287889224
74695,0-35,2,6,0.15596002287889224
74734,0-35,0,6,0.15596002287889224
75255,0-35,1,6,0.15596002287889224
75427,0-35,1,6,0.15596002287889224
75454,0-35,3,6,0.15596002287889224
76081,0-35,0,6,0.15596002287889224
76081,0-35,0,6,0.15596002287889224
76536,0-35,2,6,0.15596002287889224
76579,0-35,0,6,0.15596002287889224
76579,0-35,0,6,0.15596002287889224
77367,0-35,1,6,0.15596002287889224
77744,0-35,0,6,0.15596002287889224
77845,0-35,1,6,0.15596002287889224
77995,0-35,3,6,0.15596002287889224
78170,0-35,3,6,0.15596002287889224
78255,0-35,4,6,0.15596002287889224
78255,0-35,4,6,0.15596002287889224
78645,0-35,2,6,0.15596002287889224
79261,0-35,3,6,0.15596002287889224
79461,0-35,1,6,0.15596002287889224
79461,0-35,1,6,0.15596002287889224
79610,0-35,1,6,0.15596002287889224
79683,0-35,5,6,0.15596002287889224
80329,0-35,3,6,0.15596002287889224
80329,0-35,3,6,0.15596002287889224
80329,0-35,3,6,0.15596002287889224
80329,0-35,3,6,0.15596002287889224
80358,0-35,3,6,0.15596002287889224
80438,0-35,4,6,0.15596002287889224
80745,0-35,1,6,0.15596002287889224
80868,0-35,3,6,0.15596002287889224
80868,0-35,3,6,0.15596002287889224
81754,0-35,1,6,0.15596002287889224
82201,0-35,0,6,0.15596002287889224
82201,0-35,0,6,0.15596002287889224
82341,0-35,0,6,0.15596002287889224
82535,0-35,0,6,0.15596002287889224
82556,0-35,4,6,0.15596002287889224
82575,0-35,1,6,0.15596002287889224
82741,0-35,3,6,0.15596002287889224
83219,0-35,1,6,0.15596002287889224
83219,0-35,1,6,0.15596002287889224
83553,0-35,3,6,0.15596002287889224
84051,0-35,1,6,0.15596002287889224
84245,0-35,0,6,0.15596002287889224
84299,0-35,1,6,0.15596002287889224
84299,0-35,1,6,0.15596002287889224
84541,0-35,4,6,0.15596002287889224
84812,0-35,0,6,0.15596002287889224
85092,0-35,0,6,0.15596002287889224
86047,0-35,1,6,0.15596002287889224
86047,0-35,1,6,0.15596002287889224
86538,0-35,1,6,0.15596002287889224
86669,0-35,3,6,0.15596002287889224
87107,0-35,5,6,0.15596002287889224
87152,0-35,1,6,0.15596002287889224
87264,0-35,3,6,0.15596002287889224
87322,0-35,4,6,0.15596002287889224
87929,0-35,0,6,0.15596002287889224
88340,0-35,3,6,0.15596002287889224
88439,0-35,4,6,0.15596002287889224
88781,0-35,1,6,0.15596002287889224
88910,0-35,1,6,0.15596002287889224
89092,0-35,5,6,0.15596002287889224
89188,0-35,3,6,0.15596002287889224
89545,0-35,1,6,0.15596002287889224
89727,0-35,5,6,0.15596002287889224
89778,0-35,0,6,0.15596002287889224
89850,0-35,3,6,0.15596002287889224
89895,0-35,3,6,0.15596002287889224
90537,0-35,1,6,0.15596002287889224
91040,0-35,1,6,0.15596002287889224
91265,0-35,1,6,0.15596002287889224
91354,0-35,5,6,0.15596002287889224
91470,0-35,3,6,0.15596002287889224
91629,0-35,3,6,0.15596002287889224
92274,0-35,3,6,0.15596002287889224
92274,0-35,3,6,0.15596002287889224
92341,0-35,2,6,0.15596002287889224
92775,0-35,3,6,0.15596002287889224
92832,0-35,2,6,0.15596002287889224
92993,0-35,2,6,0.15596002287889224
94616,0-35,5,6,0.15596002287889224
94749,0-35,4,6,0.15596002287889224
94923,0-35,1,6,0.15596002287889224
94964,0-35,3,6,0.15596002287889224
95356,0-35,1,6,0.15596002287889224
95356,0-35,1,6,0.15596002287889224
95746,0-35,1,6,0.15596002287889224
95755,0-35,4,6,0.15596002287889224
95906,0-35,3,6,0.15596002287889224
96423,0-35,0,6,0.15596002287889224
96475,0-35,0,6,0.15596002287889224
96538,0-35,5,6,0.15596002287889224
96592,0-35,3,6,0.15596002287889224
96729,0-35,1,6,0.15596002287889224
96874,0-35,5,6,0.15596002287889224
96874,0-35,5,6,0.15596002287889224
97154,0-35,1,6,0.15596002287889224
97865,0-35,2,6,0.15596002287889224
98256,0-35,5,6,0.15596002287889224
98842,0-35,3,6,0.15596002287889224
99075,0-35,1,6,0.15596002287889224
99088,0-35,1,6,0.15596002287889224
99670,0-35,4,6,0.15596002287889224
99799,0-35,5,6,0.15596002287889224
99993,0-35,3,6,0.15596002287889224
100561,0-35,3,6,0.15596002287889224
100788,0-35,3,6,0.15596002287889224
100788,0-35,3,6,0.15596002287889224
100893,0-35,1,6,0.15596002287889224
101420,0-35,0,6,0.15596002287889224
101634,0-35,5,6,0.15596002287889224
102343,0-35,4,6,0.15596002287889224
102806,0-35,2,6,0.15596002287889224
102854,0-35,3,6,0.15596002287889224
102952,0-35,1,6,0.15596002287889224
103535,0-35,0,6,0.15596002287889224
103800,0-35,5,6,0.15596002287889224
103904,0-35,4,6,0.15596002287889224
104213,0-35,3,6,0.15596002287889224
104316,0-35,4,6,0.15596002287889224
104480,0-35,1,6,0.15596002287889224
104643,0-35,3,6,0.15596002287889224
105168,0-35,1,6,0.15596002287889224
105168,0-35,1,6,0.15596002287889224
105851,0-35,0,6,0.15596002287889224
105939,0-35,1,6,0.15596002287889224
106095,0-35,1,6,0.15596002287889224
106553,0-35,1,6,0.15596002287889224
106577,0-35,4,6,0.15596002287889224
107028,0-35,4,6,0.15596002287889224
107028,0-35,4,6,0.15596002287889224
107339,0-35,3,6,0.15596002287889224
107339,0-35,3,6,0.15596002287889224
107455,0-35,1,6,0.15596002287889224
107489,0-35,3,6,0.15596002287889224
107713,0-35,5,6,0.15596002287889224
108207,0-35,1,6,0.15596002287889224
108497,0-35,2,6,0.15596002287889224
108589,0-35,0,6,0.15596002287889224
108834,0-35,4,6,0.15596002287889224
108859,0-35,1,6,0.15596002287889224
108949,0-35,0,6,0.15596002287889224
108949,0-35,0,6,0.15596002287889224
109155,0-35,1,6,0.15596002287889224
109372,0-35,2,6,0.15596002287889224
109441,0-35,1,6,0.15596002287889224
109577,0-35,1,6,0.15596002287889224
109577,0-35,1,6,0.15596002287889224
109772,0-35,2,6,0.15596002287889224
109782,0-35,5,6,0.15596002287889224
109938,0-35,2,6,0.15596002287889224
110085,0-35,3,6,0.15596002287889224
110116,0-35,3,6,0.15596002287889224
110200,0-35,5,6,0.15596002287889224
110789,0-35,4,6,0.15596002287889224
110820,0-35,3,6,0.15596002287889224
110881,0-35,3,6,0.15596002287889224
110881,0-35,3,6,0.15596002287889224
110911,0-35,1,6,0.15596002287889224
111113,0-35,4,6,0.15596002287889224
111360,0-35,5,6,0.15596002287889224
111360,0-35,5,6,0.15596002287889224
111548,0-35,4,6,0.15596002287889224
111926,0-35,4,6,0.15596002287889224
111926,0-35,4,6,0.15596002287889224
111959,0-35,1,6,0.15596002287889224
112441,0-35,0,6,0.15596002287889224
112454,0-35,1,6,0.15596002287889224
113565,0-35,3,6,0.15596002287889224
113698,0-35,1,6,0.15596002287889224
113702,0-35,3,6,0.15596002287889224
113824,0-35,1,6,0.15596002287889224
114402,0-35,1,6,0.15596002287889224
114558,0-35,3,6,0.15596002287889224
115373,0-35,3,6,0.15596002287889224
115452,0-35,2,6,0.15596002287889224
116319,0-35,0,6,0.15596002287889224
116518,0-35,1,6,0.15596002287889224
116529,0-35,0,6,0.15596002287889224
116529,0-35,0,6,0.15596002287889224
116541,0-35,1,6,0.15596002287889224
116621,0-35,3,6,0.15596002287889224
117197,0-35,4,6,0.15596002287889224
117232,0-35,1,6,0.15596002287889224
117232,0-35,1,6,0.15596002287889224
117281,0-35,0,6,0.15596002287889224
117435,0-35,4,6,0.15596002287889224
117435,0-35,4,6,0.15596002287889224
117510,0-35,3,6,0.15596002287889224
117545,0-35,5,6,0.15596002287889224
117699,0-35,2,6,0.15596002287889224
118050,0-35,3,6,0.15596002287889224
118098,0-35,1,6,0.15596002287889224
118474,0-35,0,6,0.15596002287889224
118479,0-35,3,6,0.15596002287889224
118532,0-35,3,6,0.15596002287889224
118578,0-35,1,6,0.15596002287889224
118578,0-35,1,6,0.15596002287889224
118983,0-35,1,6,0.15596002287889224
119310,0-35,3,6,0.15596002287889224
119310,0-35,3,6,0.15596002287889224
119444,0-35,0,6,0.15596002287889224
119444,0-35,0,6,0.15596002287889224
119865,0-35,3,6,0.15596002287889224
119898,0-35,2,6,0.15596002287889224
120236,0-35,1,6,0.15596002287889224
120999,0-35,3,6,0.15596002287889224
121000,0-35,3,6,0.15596002287889224
121182,0-35,1,6,0.15596002287889224
122459,0-35,0,6,0.15596002287889224
122739,0-35,3,6,0.15596002287889224
122846,0-35,0,6,0.15596002287889224
123053,0-35,1,6,0.15596002287889224
123087,0-35,1,6,0.15596002287889224
123462,0-35,0,6,0.15596002287889224
123497,0-35,5,6,0.15596002287889224
123598,0-35,3,6,0.15596002287889224
123598,0-35,3,6,0.15596002287889224
123598,0-35,3,6,0.15596002287889224
123716,0-35,5,6,0.15596002287889224
123957,0-35,0,6,0.15596002287889224
123957,0-35,0,6,0.15596002287889224
124006,0-35,1,6,0.15596002287889224
124064,0-35,1,6,0.15596002287889224
124134,0-35,3,6,0.15596002287889224
124304,0-35,0,6,0.15596002287889224
125055,0-35,2,6,0.15596002287889224
125407,0-35,5,6,0.15596002287889224
125996,0-35,4,6,0.15596002287889224
126337,0-35,3,6,0.15596002287889224
126337,0-35,3,6,0.15596002287889224
126394,0-35,3,6,0.15596002287889224
126394,0-35,3,6,0.15596002287889224
126395,0-35,1,6,0.15596002287889224
126450,0-35,3,6,0.15596002287889224
126608,0-35,2,6,0.15596002287889224
126713,0-35,0,6,0.15596002287889224
126769,0-35,0,6,0.15596002287889224
126812,0-35,3,6,0.15596002287889224
